11:04:04 [INFO] Tìm thấy 72 file .docx tại syllabus/courses-raw/curriculum/
11:04:04 [INFO] Input:  syllabus/courses-raw/curriculum/
         Output: syllabus/courses-raw/qbcur/
         Files:  72 | workers=4
11:04:35 [INFO] [✓] 7310108         | TC=125.0 | PLO=12 | HP= 51 | score=100 | CTĐT ngành Phân tích dữ liệu kinh tế_EDA.docx
11:04:36 [INFO] [✓] 7340101         | TC=145.0 | PLO=18 | HP= 61 | score=100 | CTĐT ngành Ngôn ngữ Anh.docx
11:04:36 [INFO] [✓] 7310105         | TC=130.0 | PLO=17 | HP= 50 | score=100 | CTĐT ngành Phát triển quốc tế.docx
11:04:36 [INFO] [✓] 7320108         | TC=130.0 | PLO=13 | HP= 48 | score=100 | CTĐT ngành Quan hệ công chúng.docx
11:04:36 [INFO] [✓] 7340408         | TC=130.0 | PLO=15 | HP= 48 | score=100 | CTĐT ngành Quan hệ lao động.docx
11:04:37 [INFO] [✓] 7310101         | TC=131.0 | PLO=12 | HP= 62 | score=100 | CTĐT ngành Quản lý công và chính sách_EPMP.docx
11:04:37 [INFO] [✓] 7340409         | TC=130.0 | PLO=16 | HP= 48 | score=100 | CTĐT ngành Quản lý dự án.docx
11:04:38 [INFO] [✓] 7850101         | TC=130.0 | PLO=15 | HP= 48 | score=100 | CTĐT ngành Quản lý tài nguyên và môi trường.docx
11:04:38 [INFO] [✓] 7340403         | TC=130.0 | PLO=16 | HP= 48 | score=100 | CTĐT ngành Quản lý công.docx
11:04:39 [INFO] [✓] 7340101         | TC=129.0 | PLO=15 | HP= 61 | score=100 | CTĐT ngành Quản trị chất lượng và đổi mới_EMQI.docx
11:04:39 [INFO] [✓] 7850103         | TC=130.0 | PLO=17 | HP= 48 | score=100 | CTĐT ngành Quản lý đất đai.docx
11:04:39 [INFO] [✓] 7810103         | TC=130.0 | PLO=17 | HP= 48 | score=100 | CTĐT ngành Quản trị dịch vụ du lịch và lữ hành.docx
11:04:40 [INFO] [✓] 7810101         | TC=130.0 | PLO=19 | HP= 47 | score=100 | CTĐT ngành Quản trị công nghiệp sáng tạo.docx
11:04:41 [INFO] [✓] 7810101         | TC=130.0 | PLO=17 | HP= 51 | score=100 | CTĐT ngành Quản trị giải trí và sự kiện.docx
11:04:41 [INFO] [✓] 7810201         | TC=130.0 | PLO=19 | HP= 43 | score=100 | CTĐT ngành Quản trị khách sạn quốc tế_IHME.docx
11:04:41 [INFO] [✓] 7810201         | TC=130.0 | PLO=17 | HP= 47 | score=100 | CTĐT ngành Quản trị khách sạn.docx
11:04:42 [INFO] [✓] 7340101         | TC=130.0 | PLO=15 | HP= 48 | score=100 | CTĐT ngành Quản trị kinh doanh.docx
11:04:42 [INFO] [✓] 7340101         | TC=129.0 | PLO=11 | HP= 53 | score=100 | CTĐT ngành Quản trị kinh doanh_EBBA.docx
11:04:42 [INFO] [✓] 7340404         | TC=130.0 | PLO=17 | HP= 48 | score=100 | CTĐT ngành Quản trị nhân lực.docx
11:04:43 [INFO] [✓] 7340404         | TC=130.0 | PLO=16 | HP= 50 | score=100 | CTĐT ngành Quản trị nhân lực quốc tế.docx
11:04:44 [INFO] [✓] 7340122         | TC=130.0 | PLO=16 | HP= 48 | score=100 | CTĐT ngành Thương mại điện tử.docx
11:04:44 [INFO] [✓] 7310108         | TC=130.0 | PLO=15 | HP= 49 | score=100 | CTĐT ngành Quản trị rủi ro định lượng.docx
11:04:44 [INFO] [✓] 7340101         | TC=130.0 | PLO=20 | HP= 50 | score=100 | CTĐT ngành Quản trị điều hành thông minh_ESOM.docx
11:04:44 [INFO] [✓] 7340201         | TC=130.0 | PLO=13 | HP= 50 | score=100 | CTĐT ngành Thẩm định giá.docx
11:04:45 [INFO] [✓] 7310107         | TC=130.0 | PLO=14 | HP= 48 | score=100 | CTĐT ngành Thống kê kinh tế.docx
11:04:46 [INFO] [✓] 7310108         | TC=130.0 | PLO=15 | HP= 48 | score=100 | CTĐT ngành Toán kinh tế.docx
11:04:46 [INFO] [✓] 7310107         | TC=130.0 | PLO=14 | HP= 53 | score=100 | CTĐT ngành Thống kê và Trí tuệ Kinh doanh.docx
11:04:46 [INFO] [✓] 7480107         | TC=130.0 | PLO=12 | HP= 50 | score=100 | CTĐT ngành Trí tuệ nhân tạo.docx
11:04:46 [INFO] [✓] 7340201         | TC=129.0 | PLO=11 | HP= 47 | score=100 | CTĐT ngành Tài chính và Đầu tư_BFI.docx
11:04:46 [INFO] [✓] 7340201         | TC=130.0 | PLO=17 | HP= 48 | score=100 | CTĐT ngành Tài chính Ngân hàng.docx
